# Policy only: command<TAB>safe empty-prefix default<TAB>human-facing prominence
# tier. Syntax is generated from pinned Carapace specifications into
# generated-command-tree.tsv; this list ranks candidates and supplies safe
# defaults, while the generated corpus supplies broad multi-level syntax.
incus	list	list,info,config,profile,network,storage,image,project,cluster,query,launch,init,start,stop,restart,exec,file,snapshot
systemd-analyze	time	time,blame,critical-chain,plot,dot,verify,security,calendar,timestamp,cat-config,unit-files
loginctl	list-sessions	list-sessions,list-users,list-seats,session-status,user-status,seat-status,show-session,show-user,show-seat
timedatectl	status	status,show,show-timesync,timesync-status,list-timezones,set-time,set-timezone,set-ntp
hostnamectl	status	status,hostname,icon-name,chassis,deployment,location
networkctl	list	list,status,show,ls,lldp,label,delete,up,down,renew,reconfigure,reload,edit
resolvectl	status	status,query,service,openpgp,tlsa,statistics,reset-statistics,flush-caches,reset-server-features
openssl	-	version,list,help,req,x509,pkey,rsa,ec,genpkey,dgst,enc,rand,s_client,s_server,verify,pkcs12
gpg	--list-keys	--list-keys,--list-secret-keys,--fingerprint,--verify,--decrypt,--encrypt,--sign,--clearsign,--import,--export,--armor
rclone	listremotes	listremotes,about,size,ls,lsl,lsd,lsf,tree,check,copy,copyto,sync,move,moveto,mkdir,delete,purge,mount,config
restic	snapshots	snapshots,stats,check,cat,diff,dump,find,forget,ls,list,restore,backup,copy,init,key,prune,rebuild-index,repair,unlock
borg	list	list,info,check,diff,extract,export-tar,mount,umount,create,delete,prune,compact,break-lock,key,with-lock
btrfs	filesystem	filesystem,subvolume,device,scrub,balance,check,inspect-internal,property,quota,qgroup,replace,rescue,restore,send,receive
zfs	list	list,get,status,history,diff,holds,snapshot,clone,create,destroy,rename,rollback,send,receive,set,inherit,mount,unmount
lsblk	-f	-f,-o,-p,-J,-l,-t,-S,-D,-m,-b
crontab	-l	-l,-e,-r,-u
locate	-	-i,-b,-e,-r,-l,--count,--limit
parted	print	print,help,align-check,mklabel,mkpart,name,quit,rescue,resizepart,rm,select,set,unit,version
strace	-	-f,-p,-o,-e,-c,-s,-t,-T
lsof	-	-i,-p,-u,-c,+D,+d,-t
traceroute	-	-n,-I,-T,-m,-p,-w,-q
host	-	-t,-a,-v,-4,-6
nft	list	list,add,insert,replace,delete,get,flush,reset,rename,describe,monitor,export,import
nala	update	update,upgrade,install,remove,purge,autoremove,search,show,list,fetch,history,clean
yum	check-update	check-update,update,upgrade,install,reinstall,remove,autoremove,search,info,list,provides,history,clean
git-lfs	status	status,env,install,uninstall,track,untrack,ls-files,fetch,pull,push,prune,migrate,locks,unlock
svn	status	status,info,log,diff,list,blame,add,delete,move,copy,commit,update,switch,merge,revert,resolve,cleanup
hg	status	status,summary,log,diff,annotate,add,remove,rename,copy,commit,pull,push,update,merge,rebase,resolve,shelve
kustomize	build	build,cfg,create,edit,fn,localize,version
kind	get	get,create,delete,export,load,build,completion,version
ninja	-	-n,-v,-C,-f,-t,-j,-k,-l,-d
meson	setup	setup,configure,compile,test,install,introspect,init,wrap,subprojects,rewrite,dist,devenv
ruby	-	-e,-I,-r,-c,-w,--version
perl	-	-e,-I,-M,-c,-w,--version
psql	-	--list,--dbname,--host,--port,--username,--file,--command,--csv,--tuples-only
mysql	-	--host,--port,--user,--password,--database,--execute,--batch,--table
mongosh	-	--host,--port,--username,--password,--file,--eval,--quiet
screen	-ls	-ls,-r,-R,-S,-dmS,-x,-D
