# Generated from Carapace 1.7.3 export trees; do not edit by hand.
adb wait-for-rescue	-	-	-
adb wait-for-sideload	-	-	-
adb wait-for-usb-bootloader	-	-	-
adb wait-for-usb-disconnect	-	-	-
adb wait-for-usb-recovery	-	-	-
adb wait-for-usb-rescue	-	-	-
adb wait-for-usb-sideload	-	-	-
age	-	--armor,--decrypt,--encrypt,--identity,--output,--passphrase,--recipient,--recipients-file,-R,-a,-d,-e,-i,-o,-p,-r	path
agg	-	--cols,--font-dir,--font-family,--font-size,--fps-cap,--help,--idle-time-limit,--line-height,--no-loop,--renderer,--rows,--speed,--theme,--verbose,--version,-V,-h,-v	path
alsamixer	-	--abstraction,--card,--config,--device,--help,--mouse,--no-color,--no-config,--no-mouse,--view,-D,-F,-M,-V,-a,-c,-f,-g,-h,-m	-
ant	-	--execdebug,--noconfig,--usejikes,-autoproxy,-buildfile,-debug,-diagnostics,-emacs,-f,-file,-find,-help,-inputhandler,-k,-keep-going,-l,-lib,-listener,-logfile,-logger,-main,-nice,-noclasspath,-noinput,-nouserlib,-projecthelp,-propertyfile,-quiet,-s,-silent,-verbose,-version	path
apk	add,audit,cache,del,dot,fetch,fix,index,info,list,policy,search,stats,update,upgrade,verify,version	--help,--version,-h	-
apk add	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--clean-protected,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--initdb,--initramfs-diskless-boot,--interactive,--keys-dir,--latest,--no-cache,--no-check-certificate,--no-chown,--no-commit-hooks,--no-interactive,--no-network,--no-progress,--no-scripts,--overlay-from-stdin,--print-arch,--progress,--progress-fd,--purge,--quiet,--repositories-file,--repository,--root,--simulate,--timeout,--update-cache,--upgrade,--verbose,--version,--virtual,--wait,-U,-V,-X,-f,-i,-l,-p,-q,-s,-t,-u,-v	path
apk audit	-	--allow-untrusted,--arch,--backup,--cache-dir,--cache-max-age,--check-permissions,--details,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--full,--ignore-busybox-symlinks,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--packages,--print-arch,--progress,--progress-fd,--protected-paths,--purge,--quiet,--recursive,--repositories-file,--repository,--root,--system,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-f,-i,-p,-q,-r,-v	path
apk cache	-	--add-dependencies,--allow-untrusted,--arch,--available,--cache-dir,--cache-max-age,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--ignore-conflict,--interactive,--keys-dir,--latest,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--print-arch,--progress,--progress-fd,--purge,--quiet,--repositories-file,--repository,--root,--simulate,--timeout,--update-cache,--upgrade,--verbose,--version,--wait,-U,-V,-X,-a,-f,-i,-l,-p,-q,-s,-u,-v	-
apk del	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--clean-protected,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--initramfs-diskless-boot,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-commit-hooks,--no-interactive,--no-network,--no-progress,--no-scripts,--overlay-from-stdin,--print-arch,--progress,--progress-fd,--purge,--quiet,--rdepends,--repositories-file,--repository,--root,--simulate,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-f,-i,-p,-q,-r,-s,-v	path
apk dot	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--errors,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--from,--installed,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--print-arch,--progress,--progress-fd,--purge,--quiet,--repositories-file,--repository,--root,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-f,-i,-p,-q,-v	path
apk fetch	-	--allow-untrusted,--arch,--built-after,--cache-dir,--cache-max-age,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--from,--interactive,--keys-dir,--link,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--output,--print-arch,--progress,--progress-fd,--purge,--quiet,--recursive,--repositories-file,--repository,--root,--simulate,--stdout,--timeout,--update-cache,--url,--verbose,--version,--wait,--world,-R,-U,-V,-X,-f,-i,-l,-o,-p,-q,-s,-v,-w	path
apk fix	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--clean-protected,--depends,--directory-permissions,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--initramfs-diskless-boot,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-commit-hooks,--no-interactive,--no-network,--no-progress,--no-scripts,--overlay-from-stdin,--print-arch,--progress,--progress-fd,--purge,--quiet,--reinstall,--repositories-file,--repository,--root,--simulate,--timeout,--update-cache,--upgrade,--verbose,--version,--wait,--xattr,-U,-V,-X,-d,-f,-i,-p,-q,-r,-s,-u,-v,-x	path
apk index	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--description,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--index,--interactive,--keys-dir,--merge,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--no-warnings,--output,--print-arch,--progress,--progress-fd,--prune-origin,--purge,--quiet,--repositories-file,--repository,--rewrite-arch,--root,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-d,-f,-i,-o,-p,-q,-v,-x	path
apk info	-	--all,--allow-untrusted,--arch,--cache-dir,--cache-max-age,--contents,--depends,--description,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--from,--install-if,--installed,--interactive,--keys-dir,--license,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--print-arch,--progress,--progress-fd,--provides,--purge,--quiet,--rdepends,--replaces,--repositories-file,--repository,--rinstall-if,--root,--size,--timeout,--triggers,--update-cache,--verbose,--version,--wait,--webpage,--who-owns,-L,-P,-R,-U,-V,-W,-X,-a,-d,-e,-f,-i,-p,-q,-r,-s,-t,-v,-w	path
apk list	-	--allow-untrusted,--arch,--available,--cache-dir,--cache-max-age,--depends,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--from,--installed,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--origin,--orphaned,--print-arch,--progress,--progress-fd,--providers,--purge,--quiet,--repositories-file,--repository,--root,--timeout,--update-cache,--upgradable,--upgradeable,--verbose,--version,--wait,-I,-O,-P,-U,-V,-X,-a,-d,-f,-i,-o,-p,-q,-u,-v	-
apk policy	-	--allow-untrusted,--arch,--cache-dir,--cache-max-age,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--print-arch,--progress,--progress-fd,--purge,--quiet,--repositories-file,--repository,--root,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-f,-i,-p,-q,-v	path
apk search	-	--all,--allow-untrusted,--arch,--cache-dir,--cache-max-age,--description,--exact,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--from,--has-origin,--interactive,--keys-dir,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--origin,--print-arch,--progress,--progress-fd,--purge,--quiet,--rdepends,--repositories-file,--repository,--root,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-a,-d,-e,-f,-i,-o,-p,-q,-r,-v,-x	-
apk stats	-	-	-
apk update	-	-	-
apk upgrade	-	--allow-untrusted,--arch,--available,--cache-dir,--cache-max-age,--clean-protected,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--ignore,--initramfs-diskless-boot,--interactive,--keys-dir,--latest,--no-cache,--no-check-certificate,--no-commit-hooks,--no-interactive,--no-network,--no-progress,--no-scripts,--no-self-upgrade,--overlay-from-stdin,--print-arch,--progress,--progress-fd,--prune,--purge,--quiet,--repositories-file,--repository,--root,--self-upgrade-only,--simulate,--timeout,--update-cache,--verbose,--version,--wait,-U,-V,-X,-a,-f,-i,-l,-p,-q,-s,-v	path
apk verify	-	-	path
apk version	-	--all,--allow-untrusted,--arch,--cache-dir,--cache-max-age,--check,--force,--force-binary-stdout,--force-broken-world,--force-missing-repositories,--force-non-repository,--force-old-apk,--force-overwrite,--force-refresh,--indexes,--interactive,--keys-dir,--limit,--no-cache,--no-check-certificate,--no-interactive,--no-network,--no-progress,--print-arch,--progress,--progress-fd,--purge,--quiet,--repositories-file,--repository,--root,--test,--timeout,--update-cache,--verbose,--version,--wait,-I,-U,-V,-X,-a,-c,-f,-i,-l,-p,-q,-t,-v	path
aplay	-	--avail-min,--buffer-size,--buffer-time,--channels,--chmap,--device,--disable-channels,--disable-format,--disable-resample,--disable-softvol,--dump-hw-params,--duration,--fatal-errors,--file-type,--format,--help,--interactive,--list-devices,--list-pcms,--max-file-time,--mmap,--nonblock,--period-size,--period-time,--process-id-file,--quiet,--rate,--samples,--start-delay,--stop-delay,--test-coef,--test-nowait,--test-position,--use-strftime,--verbose,--version,--vumeter,-A,-B,-D,-F,-L,-M,-N,-R,-T,-V,-c,-d,-f,-h,-i,-l,-m,-q,-r,-s,-t,-v	path
apropos	-	--and,--config-file,--debug,--exact,--help,--locale,--long,--manpath,--regex,--section,--sections,--systems,--usage,--verbose,--version,--wildcard,-C,-L,-M,-V,-a,-d,-e,-l,-m,-r,-s,-v,-w	-
apt	autoclean,autopurge,autoremove,build-dep,changelog,clean,depends,dist-upgrade,download,edit-sources,full-upgrade,help,info,install,list,policy,purge,rdepends,reinstall,remove,satisfy,search,show,showsrc,source,update,upgrade	--help,--host-architecture,--option,--target-release,--version,-a,-c,-h,-o,-t,-v	-
apt autoclean	-	--dry-run,--simulate,-s	-
apt autopurge	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	-
apt autoremove	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	-
apt build-dep	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--build-profiles,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--host-architecture,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--remove,--show-upgraded,--simulate,--solver,--target-release,--trivial-only,--upgrade,-P,-a,-d,-m,-s,-t,-u,-y	path
apt changelog	-	-	path
apt clean	-	--dry-run,--simulate,-s	-
apt depends	-	--breaks,--conflicts,--depends,--enhances,--implicit,--important,--installed,--pre-depends,--recommends,--recurse,--replaces,--suggests,-i	path
apt dist-upgrade	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	-
apt download	-	-	path
apt edit-sources	-	-	-
apt full-upgrade	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	-
apt help	-	-	-
apt info	-	-	path
apt install	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	path
apt list	-	--all-versions,--installed,--manual-installed,--target-release,--upgradable,--verbose,-a,-t,-v	-
apt policy	-	-	path
apt purge	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	-
apt rdepends	-	--breaks,--conflicts,--enhances,--implicit,--important,--installed,--pre-rdepends,--rdepends,--recommends,--recurse,--replaces,--suggests,-i	path
apt reinstall	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	path
apt remove	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	path
apt satisfy	-	-	path
apt search	-	--full,--names-only,-f,-n	-
apt show	-	--all-versions,-a	path
apt showsrc	-	--only-source	path
apt source	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--build,--build-profiles,--compile,--debian-only,--diff-only,--download,--download-only,--dry-run,--dsc-only,--fix-missing,--fix-policy,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--only-upgrade,--print-uris,--remove,--show-upgraded,--simulate,--tar-only,--trivial-only,--upgrade,-P,-b,-d,-m,-s,-u,-y	path
apt update	-	--allow-insecure-repositories,--list-cleanup,--print-uris	-
apt upgrade	-	--allow-change-held-packages,--allow-downgrades,--allow-insecure-repositories,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--download,--download-only,--dry-run,--fix-missing,--fix-policy,--force-yes,--ignore-hold,--ignore-missing,--install-recommends,--install-suggests,--no-install-recommends,--no-install-suggests,--no-list-columns,--no-strict-pinning,--only-upgrade,--print-uris,--purge,--reinstall,--remove,--show-progress,--show-upgraded,--simulate,--solver,--trivial-only,--upgrade,--verbose-versions,-d,-m,-s,-u,-y	path
apt-cache	depends,dotty,dump,dumpavail,gencaches,madison,pkgnames,policy,rdepends,search,show,showpkg,showsrc,stats,unmet,xvcg	--all-names,--all-versions,--config-file,--full,--generate,--help,--implicit,--important,--installed,--no-breaks,--no-conflicts,--no-depends,--no-enhances,--no-pre-depends,--no-recommends,--no-replaces,--no-suggests,--option,--pkg-cache,--quiet,--recurse,--src-cache,--version,--with-source,-a,-c,-f,-g,-h,-i,-n,-o,-p,-q,-s,-v	-
apt-cache depends	-	-	path
apt-cache dotty	-	-	path
apt-cache dump	-	-	-
apt-cache dumpavail	-	-	-
apt-cache gencaches	-	-	-
apt-cache madison	-	-	path
apt-cache pkgnames	-	-	-
apt-cache policy	-	-	path
apt-cache rdepends	-	-	path
apt-cache search	-	-	-
apt-cache show	-	-	path
apt-cache showpkg	-	-	path
apt-cache showsrc	-	-	path
apt-cache stats	-	-	-
apt-cache unmet	-	-	-
apt-cache xvcg	-	-	path
apt-get	autoclean,autoremove,build-dep,changelog,check,clean,dist-upgrade,download,dselect-upgrade,indextargets,install,purge,reinstall,remove,satisfy,source,update,upgrade	--allow-downgrades,--allow-releaseinfo-change,--allow-remove-essential,--allow-unauthenticated,--arch-only,--assume-no,--assume-yes,--auto-remove,--autoremove,--build,--build-profiles,--compile,--config-file,--default-release,--diff-only,--download-only,--dry-run,--dsc-only,--error-on,--fix-broken,--fix-missing,--force-yes,--help,--host-architecture,--ignore-hold,--ignore-missing,--indep-only,--install-suggests,--just-print,--list-cleanup,--no-act,--no-allow-insecure-repositories,--no-download,--no-install-recommends,--no-remove,--no-show-upgraded,--no-upgrade,--only-source,--only-upgrade,--option,--print-uris,--purge,--quiet,--recon,--reinstall,--show-progress,--simulate,--tar-only,--target-release,--trivial-only,--verbose-versions,--version,--with-new-pkgs,--with-source,--yes,-P,-V,-a,-b,-c,-d,-f,-h,-m,-o,-q,-s,-t,-v,-y	-
apt-get autoclean	-	-	-
apt-get autoremove	-	-	-
apt-get build-dep	-	-	path
apt-get changelog	-	-	path
apt-get check	-	-	-
apt-get clean	-	-	-
apt-get dist-upgrade	-	-	-
apt-get download	-	-	path
apt-get dselect-upgrade	-	-	-
apt-get indextargets	-	-	-
apt-get install	-	-	path
apt-get purge	-	-	path
apt-get reinstall	-	-	-
apt-get remove	-	-	path
apt-get satisfy	-	-	-
apt-get source	-	-	path
apt-get update	-	-	-
apt-get upgrade	-	-	-
ar	-	-	-
archlinux-java	fix,get,help,set,status,unset	--help,-h	-
archlinux-java fix	-	-	-
archlinux-java get	-	-	-
archlinux-java help	-	-	-
archlinux-java set	-	-	path
archlinux-java status	-	-	-
archlinux-java unset	-	-	-
arecord	-	-	path
aria2c	-	--all-proxy,--all-proxy-passwd,--all-proxy-user,--allow-overwrite,--allow-piece-length-change,--always-resume,--async-dns,--async-dns-server,--auto-file-renaming,--auto-save-interval,--bt-detach-seed-only,--bt-enable-hook-after-hash-check,--bt-enable-lpd,--bt-exclude-tracker,--bt-external-ip,--bt-force-encryption,--bt-hash-check-seed,--bt-load-saved-metadata,--bt-lpd-interface,--bt-max-open-files,--bt-max-peers,--bt-metadata-only,--bt-min-crypto-level,--bt-prioritize-piece,--bt-remove-unselected-file,--bt-request-peer-speed-limit,--bt-require-crypto,--bt-save-metadata,--bt-seed-unverified,--bt-stop-timeout,--bt-tracker,--bt-tracker-connect-timeout,--bt-tracker-interval,--bt-tracker-timeout,--ca-certificate,--certificate,--check-certificate,--check-integrity,--checksum,--conditional-get,--conf-path,--connect-timeout,--console-log-level,--content-disposition-default-utf8,--continue,--daemon,--deferred-input,--dht-entry-point,--dht-entry-point6,--dht-file-path,--dht-file-path6,--dht-listen-addr6,--dht-listen-port,--dht-message-timeout,--dir,--disable-ipv6,--disk-cache,--download-result,--dry-run,--dscp,--enable-async-dns6,--enable-color,--enable-dht,--enable-dht6,--enable-http-keep-alive,--enable-http-pipelining,--enable-mmap,--enable-peer-exchange,--enable-rpc,--event-poll,--file-allocation,--follow-metalink,--follow-torrent,--force-save,--force-sequential,--ftp-passwd,--ftp-pasv,--ftp-proxy,--ftp-proxy-passwd,--ftp-proxy-user,--ftp-reuse-connection,--ftp-type,--ftp-user,--gid,--hash-check-only,--header,--help,--http-accept-gzip,--http-auth-challenge,--http-no-cache,--http-passwd,--http-proxy,--http-proxy-passwd,--http-proxy-user,--http-user,--https-proxy,--https-proxy-passwd,--https-proxy-user,--human-readable,--index-out,--input-file,--interface,--keep-unfinished-download-result,--listen-port,--load-cookies,--log,--log-level,--lowest-speed-limit,--max-concurrent-downloads,--max-connection-per-server,--max-download-limit,--max-download-result,--max-file-not-found,--max-mmap-limit,--max-overall-download-limit,--max-overall-upload-limit,--max-resume-failure-tries,--max-tries,--max-upload-limit,--metalink-base-uri,--metalink-enable-unique-protocol,--metalink-file,--metalink-language,--metalink-location,--metalink-os,--metalink-preferred-protocol,--metalink-version,--min-split-size,--min-tls-version,--multiple-interface,--netrc-path,--no-conf,--no-file-allocation-limit,--no-netrc,--no-proxy,--no-want-digest-header,--on-bt-download-complete,--on-download-complete,--on-download-error,--on-download-pause,--on-download-start,--on-download-stop,--optimize-concurrent-downloads,--out,--parameterized-uri,--pause,--pause-metadata,--peer-agent,--peer-id-prefix,--piece-length,--private-key,--proxy-method,--quiet,--realtime-chunk-checksum,--referer,--remote-time,--remove-control-file,--retry-wait,--reuse-uri,--rlimit-nofile,--rpc-allow-origin-all,--rpc-certificate,--rpc-listen-all,--rpc-listen-port,--rpc-max-request-size,--rpc-passwd,--rpc-private-key,--rpc-save-upload-metadata,--rpc-secret,--rpc-secure,--rpc-user,--save-cookies,--save-not-found,--save-session,--save-session-interval,--seed-ratio,--seed-time,--select-file,--server-stat-if,--server-stat-of,--server-stat-timeout,--show-console-readout,--show-files,--socket-recv-buffer-size,--split,--ssh-host-key-md,--stderr,--stop,--stop-with-process,--stream-piece-selector,--summary-interval,--timeout,--torrent-file,--truncate-console-readout,--uri-selector,--use-head,--user-agent,--version,-D,-M,-O,-P,-R,-S,-T,-U,-V,-Z,-c,-d,-h,-i,-j,-k,-l,-m,-n,-o,-p,-q,-s,-t,-u,-v,-x	path
artisan	_complete,about,clear-compiled,completion,db,docs,down,dusk,env,help,horizon,inspire,list,migrate,optimize,serve,test,tinker,ui,up	-	-
artisan _complete	-	--api-version,--current,--input,--shell,--symfony	-
artisan about	-	--json,--only	-
artisan clear-compiled	-	-	-
artisan completion	-	--debug	-
artisan db	-	--read,--write	-
artisan docs	-	-	-
artisan down	-	--redirect,--refresh,--render,--retry,--secret,--status,--with-secret	-
artisan dusk	-	--browse,--without-tty	-
artisan env	-	-	-
artisan help	-	-	-
artisan horizon	-	--environment	-
artisan inspire	-	-	-
artisan list	-	--format,--raw,--short	-
artisan migrate	-	--database,--force,--graceful,--isolated,--path,--pretend,--realpath,--schema-path,--seed,--seeder,--step	-
artisan optimize	-	-	-
artisan serve	-	--host,--no-reload,--port,--tries	-
artisan test	-	--compact,--coverage,--drop-databases,--min,--parallel,--profile,--recreate-databases,--without-databases,--without-tty	-
artisan tinker	-	--execute	-
artisan ui	-	--auth,--option	-
artisan up	-	-	-
asciinema	auth,cat,convert,help,play,rec,stream,upload	--help,--quiet,--server-url,--version,-h,-q	-
asciinema auth	-	-	-
asciinema cat	-	-	path
asciinema convert	-	--format,--help,--overwrite,--quiet,--server-url,-f,-h,-q	path
asciinema help	-	-	-
asciinema play	-	--idle-time-limit,--loop,--pause-on-markers,--speed,-i,-l,-m,-s	path
